CUSTOMER,FULLNAME,TAXPAYER
105881,"შ.პ.ს. ""სამკურნალო–სადიაგნოსტიკო ცენტრი სამგორი მედი"" შპს",999999012
105962,"შპს ""სახალხო აფთიაქი""",999999093
105994,"სს ""ქ. რუსთავის ცენტრალური საავადმყოფო""",999999125
105907,შ.პ.ს ბელადენტი,999999038
105968,"სს ""ჯიპისი""",999999099
105875,"შ.პ.ს. ""ახალი მზერა""",999999006
106010,"შპს ""ჯეო–მედი""",999999141
106219,"შპს ""ახალი სამედიცინო ცენტრი"" დმანისის საავადმყოფო",999999350
105936,"შ.პ.ს.""დენტალ–ექსპრესი""",999999067
106212,შპს „პინეო სამედიცინო ეკოსისტემა“,999999343
106090,"შპს ""ბიოდენტი""",999999221
106150,"შპს ""ინტერმედიკა""",999999281
106013,"ჯანმრთელობის ცენტრი ""მედინა""",999999144
105910,"შ.პ.ს სტომატოლოგიური კლინიკა""ალბა–დენტი""",999999041
106119,"შპს ""სითი დენტი""",999999250
106192,"შპს ""სააქიმო""",999999323
106177,რუსთავის N2  სამკურნალო დიაგნოსტიკური ცენტრი” სხვა,999999308
106063,"შპს ""ალსს"" სასწრაფო და გადაუდებელი დახმარების საავადმყოფო",999999194
106024,"შპს""პრიმა დენტი""",999999155
106207,ი.მ ნიკოლოზ ტალახაძე,999999338
105922,"შ.პ.ს.""შენი აფთიაქი""",999999053
105943,გადაუდებელი ნევროლოგიური კლინიკა,999999074
105886,"შ.პ.ს ""ბეიბიმედი""",999999017
106100,"შპს  საქართველოს საპატრიარქოს კლინიკა ""უპოვართათვის""",999999231
106172,"სს ""კურაციო"" დახურული სააქციო საზ",999999303
106137,ფარმადეპო შპს,999999268
106064,"შპს ""სპორტული მედიცინისა და რეაბილიტაციის ცენტრი""",999999195
105972,"შპს ""სამედიცინო ცენტრი მედინვესტი""",999999103
106026,"შპს""ჰეფი სმაილი""",999999157
106209,თსსუ პირველი საუნივერსიტეტო კლინიკა,999999340
105924,"შ.პ.ს.""კარდიო–რეანიმაციული ცენტრი""",999999055
106009,"ს.ს ""თანამედროვე სამედიცინო ტექნოლოგიები""",999999140
106114,"შპს ""თქვენი კლინიკა""",999999245
105964,"შპს ""საგზაო პოლიკლინიკა""",999999095
105977,"შპს ""კობოს კვლევითი ცენტრი დ. აბელოფის ლაბორატორია""",999999108
105887,"შ.პ.ს""დავით გაგუას კლინიკა""",999999018
105944,"შპს.""სტომატოლოგიური კლინიკა ""ჰეფი დენტი""",999999075
106014,"ინდ. საწარმო ეკატერინა კუტალია–""ეკადენტი""",999999145
105880,"შ.პ.ს ""დეკა""",999999011
105981,"შპს გადაუდებელი ნევროლოგიის კლინიკა ""ნევროლოგი""",999999112
106035,"შპს""იკამედი ფოთი""",999999166
105892,"შ.პ.ს.""ავერსის კლინიკა""",999999023
106199,კლინიკა რუსთავი სხვა,999999330
106095,"სს ""ჩემი ოჯახის კლინიკა"" ხონის რაიონული საავადმყოფო",999999226
106038,"სს ""ფოთის ცენტრალური კლინიკური საავადმყოფო""",999999169
106183,"სტომატოლოგიური კლინიკა ""ლაიფ დენტი""",999999314
106007,შპს ფერომედი,230010099
106112,"სს ""სამედიცინო კორპორაცია ევექსი"" ქუთაისის რეფერალური ჰოსპიტალი",999999243
106175,"შპს ""მედიჰელფი""",999999306
106221,შპს სმაილ პლიუსი(ფოთი),999999352
106019,"შპს ""KARAGO""",999999150
106058,"შპს ""ჰელსი თ.ე""",999999189
105939,"შ.პ.ს.""კარდიონეტი""",999999070
106120,"შპს ""საგიტარიუსი""",999999251
106016,შპს წყალტუბოს რ/საავადმყოფო,999999147
106213,"შპს ""იდეალდენტი""",999999344
105902,შპს ამტელ ჰოსპიტალი პირველი კლინიკერი,999999033
106034,"შპს ""ნათია 777""",999999165
106217,"სტომატოლოგიური კლინიკა ""ზენ დენტალი""",999999348
106164,„შპს რეფერალური დახმარების ცენტრი“,999999295
106062,"ზუგდიდის მრავალპროფილიანი კლინიკური საავადმყოფო ""რესპუბლიკა""",999999193
105983,"შპს ""ბათუმის რესპუბლიკური საავადმყოფო""",999999114
106218,შპს დავით ტატიშვილის სპორტული მედიცინისა და რეაბილიტაციის ცენტრი,999999349
106121,"შპს ""წმინდა ლაზარეს კლინიკა""",999999252
106143,"ს.ს სამედიცინო კორპორაცია""ევექსი"" თერჯოლის ჰოსპიტალი",999999274
106197,"შპს ""მედიქლაბ ჯორჯია""",999999328
105997,"შპს ""ალგანი დენტი""",999999128
105963,"შპს ""ჯეო ჰოსპიტალს""",999999094
106173,"სს ""სამედიცინო კორპორაცია ევექსი"" წალენჯიხის ჰოსპიტალი",999999304
105960,"შპს ""ზიბექსი""",999999091
106169,"შპს ""ქიქავა 2014""",999999300
106118,შპს არჩილ თამასიძის სტომატოლოგიური ცენტრი,999999249
106012,"შპს სამედიცინო ცენტრი ""სალვე""",999999143
106041,"შპს ""აკად. ზ.ცხაკაიას სახ. დასავლეთ საქართველოს ინტერვენციული მედიცინის ეროვნული ცენტრი""",999999172
106211,"შპს ""სითი სმაილი""",999999342
106097,"შპს ""გორმედი""",999999228
106059,"შპს სტომატოლოგიური კლინიკა ""გეო დენტი""",999999190
106242,"შპს ""ივანე ბოკერიას სახელობის თბილისის რეფერალური ჰოსპიტალი""",999999373
105957,"შპს ""ბავშვთა ახალი კლინიკა""",999999088
106156,"შპს ""უნიმედი აჭარა"" ქ.ქუთაისის ""ონკოლოგიის ცენტრი""",999999287
106244,შპს თბილისის გულის ცენტრი - ძველი,999999375
106187,"შპს ""გიმა"" სტომატოლოგიური კლინიკა ""ცედექსი""",999999318
105919,"შ.პ.ს.""ინტერკლინიკა""",999999050
105982,"შპს კლინიკა ""გიდმედი""",999999113
106190,პრაიმ დენტალ ცენტრი,999999321
105912,"შ.პ.ს.""იმუნიზაციის ცენტრი""",999999043
105969,"შპს""აჭარის  ონკოლოგიის ცენტრი"" სხვა",999999100
105882,"შ.პ.ს ""სამკურნალო დიაგნოსტიკური ცენტრი#6""",999999013
106085,"შპს ""გადაუდებელი ქირურგიისა და ტრავმატოლოგიის  ცენტრი""",999999216
106080,შპს ექსპერტ ჯგუფი,999999211
106223,"შპს ""სამედიცინო პარაზიტოლოგიის ტროპიკული მედიცინის კვლევითი ინსტიტუტი""",999999354
106031,"შპს""ავთანდილ ყამბარაშვილის კლინიკა""",999999162
106104,"შპს ""ჰელსი""",999999235
106165,„დავით აბულაძის ქართულ-იტალიური კლინიკა“ სხვა,999999296
105898,"თბილისის სახელმწიფო  სამედიცინო უნივერსიტეტის ""გ. ჟვანიას სახელობის პედიატრიის აკადემიური კლინიკა"" სხვა",999999029
106235,"შპს ""ექსპრეს მედიკალი""",999999366
106237,"შპს ""დენტალაიფი""",999999368
105959,"შპს ""პ.შოთაძის სახ. თბილისის სამედიცინო აკადემია",999999090
106142,"ს.ს ""სამედიცინო კორპორაცია ევექსი"" ტრავმატოლოგიური ჰოსპიტალი",999999273
106233,"სს""პრივატი""",999999364
106111,"შპს ""ო.ჩხობაძის სახ. ინვალიდთა და ხანდაზმულთა ცენტრი""",999999242
105877,"ქართულ–გერმანული იმპლანტაციის ცენტრი სტომატოლოგიური კლინიკა ""HBI-dentimplant""",999999008
106109,"შპს ""ნოვომედი"" სამედიცინო ცენტრი სხვა",999999240
105990,"შპს""გადაუდებელი ნევროლოგიის კლინიკა""ნევროლოგი""",999999121
106238,"შპს ""მედელიტი""",999999369
106245,"სტ.კლინიკა ""Prima dent"" შპს მარგი",999999376
106210,"შპს ""BROTHERS""",999999341
106191,"შპს ""კლინიკა ვაკეში""",999999322
106133,შპს იბერმობილი,999999264
106162,შპს „დენტინი“,999999293
106060,"შპს ""უნიმედი კახეთი"" ყვარლის სამედიცინო ცენტრი",999999191
106008,"შპს ""საოჯახო მედიცინის ქართულ–ამერიკული კლინიკა"" (ბერბუკის ქ. 10)",999999139
105906,"შ.პ.ს.""კლინიკური მედიცინის ს/კ ინსტიტუტი თოდუა",999999037
106089,"შპს ""მედალფა"" კასპის სამედიცინო ცენტრი",999999220
106203,სტომატოლოგიური კლინიკა მანანა სიხარულიძე დენტა სტილი,999999334
106193,"შპს ""უნიმედი კახეთი-კარაპს მედლაინი""",999999324
106091,"შპს ""SUNSTONE MEDICAL""",999999222
106188,"სს ""სამედიცინო კორპორაცია ევექსი"" - აბაშის ჰოსპიტალი",999999319
106102,"ს.ს ""საზღვაო ჰოსპიტალი""",999999233
106099,"შპს "" ქ.თბილისის ბავშვთა ინფექციური კლინიკური საავადმყოფო""",999999230
106005,"შპს ""წმინდა მიქაელ მთავარანგელოზის სახ. მრავალპროფილიფნი კლინიკური საავადმყოფო""",999999136
106096,შპს იმპერია 2009,999999227
105908,"შ.პ.ს ""ჩიჩუების თვალის კლინიკა–მზერა""",999999039
106138,"სს ""სამედიცინო კორპორაცია ევექსი-ზუგდიდის რეფერალური ჰოსპიტალი""",999999269
106149,"შპს ""უნიმედი სამცხე"" ადიგენის სამედიცინო ცენტრი",999999280
106033,"შპს""ბავშვთა ჯანმრთელობის ცენტრი""",999999164
106045,"შპს""დრიმ დენტალ გრუფი""",999999176
105945,"შპს ""ენდოკრინოლოგიის ეროვნული ინსტიტუტი""",999999076
105991,შპს სამედიცინო ცენტრი Geoswiss,999999122
105889,პსპ ფარმა შპს,202203123
106186,"შპს ""მედიქალი"" სტომატოლოგიური კლინიკა ""დიენტე""",999999317
105933,"სს ""მ იაშვილის სახ. ბავშვთა ცენტრალური საავადმყოფო""",999999064
106052,"შპს ""დენტალ ლუქსი"" ქუთაისი",999999183
106168,"შპს ""ახალი სამედიცინო ცენტრი"" -ბოლნისი",999999299
105903,"სს""უნივერსალური სამედიცინო ცენტრი""",999999034
105891,"შ.პ.ს. ""ემბრიო""",999999022
106029,"შპს""სტომატოლოგიური ცენტრი j-smile""",999999160
106152,"შპს ""დენტალუქსი"" ბათუმი",999999283
105895,"შ.პ.ს. ""ემერჯენსი სერვისი""",999999026
105938,"შ.პ.ს.""მაღალი სამედიცინო ტექნოლოგიების ცენტრი საუნივერსიტეტო კლინიკა""",999999069
105872,შ.პ.ს. ქ. თბილისის #1 სამკურნალო პროფილაქტიკური ცეტრი,999999003
105896,"შპს ""ა.ალადაშვილის სახელობის კლინიკა""",999999027
106214,"შპს ""სინევო""",999999345
106036,"შპს""კურაციო-ზ""",999999167
105979,"შპს""ბათუმი დენტალი""",999999110
106105,"შპს ""აჭარა უნიმედი"" ქედის სამედიცინო ცენტრი",999999236
106003,"შპს ""კარცდიოლოგიური კლინიკა ""გული""",999999134
106057,"შპს ""უნიმედი კახეთი"" თელავის რეფერალური საავადმყოფო",999999188
106015,"შპს ""ცეცხლაძის სახელობის # 2 სტომატოლოგიური პოლიკლინიკა""",999999146
106115,"შპს ""ნიუ ვიჟენ საუნივერსიტეტო კლინია""",999999246
105929,"შ.პ.ს.""ქუთაისის საეკლესიო საავადმყოფო–წმინდა დავით აღმაშენებლის სახ.ქსენონი""",999999060
106198,"შპს ""კლინიკა-ლჯ""",999999329
105879,ინდ.მეწარმე თამარ დოლიძის სტომატოლოგიური კლინიკა,999999010
106247,"შპს ""ქალაქ ბათუმის მრავალპროფილიანი სამშობიარო სახლი""",999999378
106178,"შპს ""მედიკორი"" სხვა",999999309
106240,"შპს ""უნიქალმედი""",999999371
