ID,NAME_A,NAME_E,NAME_R,AVAILABLE,PID,EXTCOD
56674,ნეფროზული სინდრომი დიფუზური ენდოკაპილარული პროლიფერაციული გლომერულონეფრიტით,"Nephrotic syndrome, diffuse endocapillary proliferative glomerulonephritis",Нефротический синдром -диффузный эндокапилярный пролиферативный гломерулонефрит,1,56669,N04.4
56675,ნეფროზული სინდრომი დიფუზური მეზანგიოკაპილარული გლომერულონეფრიტით,"Nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis",Нефротический синдром -диффузный мезангиокапилярный гломерулонефрит,1,56669,N04.5
56676,ნეფროზული სინდრომი მკვრივი დეპოზიტის ავადმყოფობით,"Nephrotic syndrome, dense deposit disease",Нефротический синдром -болезнь плотного осадка,1,56669,N04.6
56677,ნეფროზული სინდრომი დიფუზური ნამგლისებურუჯრედული გლომერულონეფრიტით,"Nephrotic syndrome, diffuse crescentic glomerulonephritis",Нефротический синдром -диффузный серповидный гломерулонефрит,1,56669,N04.7
56678,ნეფროზული სინდრომი სხვა ცვლილებით,"Nephrotic syndrome, other",Нефротический синдром -другие изменения,1,56669,N04.8
56679,ნეფროზული სინდრომი დაუზუსტებელი ცვლილებით,"Nephrotic syndrome, unspecified",Нефротический синдром -неуточненное изменение,1,56669,N04.9
56680,დაუზუსტებელი ნეფრიტული სინდრომი,Unspecified nephritic syndrome,Нефритический синдром неуточненный,1,50563,N05
56681,დაუზუსტებელი ნეფრიტული სინდრომი გორგლების უმნიშვნელო დაზიანებით,"Unspecified nephritic syndrome, minor glomerular abnormality",Нефритический синдром неуточненный -незначительные гломерулярные нарушения,1,56680,N05.0
56682,დაუზუსტებელი ნეფრიტული სინდრომი გორგლების კეროვანი და სეგმენტური დაზიანებებით,"Unspecified nephritic syndrome, focal and segmental glomerular lesions",Нефритический синдром неуточненный -очаговые и сегментарные гломерулярные повреждения,1,56680,N05.1
56683,დაუზუსტებელი ნეფრიტული სინდრომი დიფუზური მემბრანული გლომერულნეფრიტით,"Unspecified nephritic syndrome, diffuse membranous glomerulonephritis",Нефритический синдром неуточненный -диффузный мембранозный гломерулонефрит,1,56680,N05.2
56684,დაუზუსტებელი ნეფრიტული სინდრომი დიფუზური მეზანგიურ-პროლიფერაციული გლომერულნეფრიტით,"Unspecified nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",Нефритический синдром неуточненный -диффузный мезангиальный пролиферативный гломерулонефрит,1,56680,N05.3
56685,დაუზუსტებელი ნეფრიტული სინდრომი დიფუზური ენდოკაპილარული პროლიფერაციული გლომერულონეფრიტით,"Unspecified nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",Нефритический синдром неуточненный -диффузный эндокапилярный пролиферативный гломерулонефрит,1,56680,N05.4
56686,დაუზუსტებელი ნეფრიტული სინდრომი დიფუზური მეზანგიოკაპილარული გლომერულონეფრიტით,"Unspecified nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",Нефритический синдром неуточненный -диффузный мезангиокапилярный гломерулонефрит,1,56680,N05.5
56687,დაუზუსტებელი ნეფრიტული სინდრომი მკვრივი დეპოზიტის ავადმყოფობით,"Unspecified nephritic syndrome, dense deposit disease",Нефритический синдром неуточненный -болезнь плотного осадка,1,56680,N05.6
56688,დაუზუსტებელი ნეფრიტული სინდრომი დიფუზური ნამგლისებურუჯრედული გლომერულონეფრიტით,"Unspecified nephritic syndrome, diffuse crescentic glomerulonephritis",Нефритический синдром неуточненный -диффузный серповидный гломерулонефрит,1,56680,N05.7
56689,დაუზუსტებელი ნეფრიტული სინდრომი სხვა ცვლილებით,"Unspecified nephritic syndrome, other",Нефритический синдром неуточненный -другие изменения,1,56680,N05.8
56690,დაუზუსტებელი ნეფრიტული სინდრომი დაუზუსტებელი ცვლილებით,"Unspecified nephritic syndrome, unspecified",Нефритический синдром неуточненный -неуточненное изменение,1,56680,N05.9
56691,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით,Isolated proteinuria with specified morphological lesion,Изолированная протеинурия с уточненным морфологическим поражением,1,50563,N06
56692,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით გორგლების უმნიშვნელო დაზიანებით,"Isolated proteinuria with specified morphological lesion, minor glomerular abnormality",Изолированная протеинурия с уточненным морфологическим поражением -незначительные гломерулярные нарушения,1,56691,N06.0
56693,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით გორგლების კეროვანი და სეგმენტური დაზიანებებით,"Isolated proteinuria with specified morphological lesion, focal and segmental glomerular lesions",Изолированная протеинурия с уточненным морфологическим поражением -очаговые и сегментарные гломерулярные повреждения,1,56691,N06.1
56694,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით დიფუზური მემბრანული გლომერულნეფრიტით,"Isolated proteinuria with specified morphological lesion, diffuse membranous glomerulonephritis",Изолированная протеинурия с уточненным морфологическим поражением -диффузный мембранозный гломерулонефрит,1,56691,N06.2
56695,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით დიფუზური მეზანგიურ-პროლიფერაციული გლომერულნეფრიტით,"Isolated proteinuria with specified morphological lesion, diffuse mesangial proliferative glomerulonephritis",Изолированная протеинурия с уточненным морфологическим поражением -диффузный мезангиальный пролиферативный гломерулонефрит,1,56691,N06.3
56696,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით დიფუზური ენდოკაპილარული პროლიფერაციული გლომერულონეფრიტით,"Isolated proteinuria with specified morphological lesion, diffuse endocapillary proliferative glomerulonephritis",Изолированная протеинурия с уточненным морфологическим поражением -диффузный эндокапилярный пролиферативный гломерулонефрит,1,56691,N06.4
56697,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით დიფუზური მეზანგიოკაპილარული გლომერულონეფრიტით,"Isolated proteinuria with specified morphological lesion, diffuse mesangiocapillary glomerulonephritis",Изолированная протеинурия с уточненным морфологическим поражением -диффузный мезангиокапилярный гломерулонефрит,1,56691,N06.5
56698,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით მკვრივი დეპოზიტის ავადმყოფობით,"Isolated proteinuria with specified morphological lesion, dense deposit disease",Изолированная протеинурия с уточненным морфологическим поражением -болезнь плотного осадка,1,56691,N06.6
56699,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით დიფუზური ნამგლისებურუჯრედული გლომერულონეფრიტით,"Isolated proteinuria specified morphological lesion, with diffuse crescentic glomerulonephritis",Изолированная протеинурия с уточненным морфологическим поражением -диффузный серповидный гломерулонефрит,1,56691,N06.7
56700,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით სხვა ცვლილებით,"Isolated proteinuria with specified morphological lesion, other",Изолированная протеинурия с уточненным морфологическим поражением -другие изменения,1,56691,N06.8
56701,იზოლირებული პროტეინურია დაზუსტებული მორფოლოგიური დაზიანებით დაუზუსტებელი ცვლილებით,"Isolated proteinuria with specified morphological lesion, unspecified",Изолированная протеинурия с уточненным морфологическим поражением -неуточненное изменение,1,56691,N06.9
56702,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში","Hereditary nephropathy, not elsewhere classified","Наследственная нефропатия, не классифицированная в др.рубриках",1,50563,N07
56703,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში გორგლების უმნიშვნელო დაზიანებით","Hereditary nephropathy, not elsewhere classified, minor glomerular abnormality",Наследственная нефропатия не классифицированная в др.рубриках-незначительные гломерулярные нарушения,1,56702,N07.0
56704,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში გორგლების კეროვანი და სეგმენტური დაზიანებებით","Hereditary nephropathy, not elsewhere classified, focal and segmental glomerular lesions",Наследственная нефропатия не классифицированная в др.рубриках-очаговые и сегментарные гломерулярные повреждения,1,56702,N07.1
56705,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში დიფუზური მემბრანული გლომერულნეფრიტით","Hereditary nephropathy, not elsewhere classified, diffuse membranous glomerulonephritis",Наследственная нефропатия не классифицированная в др.рубриках-диффузный мембранозный гломерулонефрит,1,56702,N07.2
56706,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში დიფუზური მეზანგიურ-პროლიფერაციული გლომერულნეფრიტით","Hereditary nephropathy, not elsewhere classified, diffuse mesangial proliferative glomerulonephritis",Наследственная нефропатия не классифицированная в др.рубриках-диффузный мезангиальный пролиферативный гломерулонефрит,1,56702,N07.3
56707,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში დიფუზური ენდოკაპილარული პროლიფერაციული გლომერულონეფრიტით","Hereditary nephropathy, not elsewhere classified, diffuse endocapillary proliferative glomerulonephritis",Наследственная нефропатия не классифицированная в др.рубриках-диффузный эндокапилярный пролиферативный гломерулонефрит,1,56702,N07.4
56708,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში დიფუზური მეზანგიოკაპილარული გლომერულონეფრიტით","Hereditary nephropathy, not elsewhere classified, diffuse mesangiocapillary glomerulonephritis",Наследственная нефропатия не классифицированная в др.рубриках-диффузный мезангиокапилярный гломерулонефрит,1,56702,N07.5
56709,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში მკვრივი დეპოზიტის ავადმყოფობით","Hereditary nephropathy, not elsewhere classified, dense deposit disease",Наследственная нефропатия не классифицированная в др.рубриках-болезнь плотного осадка,1,56702,N07.6
56710,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში დიფუზური ნამგლისებურუჯრედული გლომერულონეფრიტით","Hereditary nephropathy, not elsewhere classified, diffuse crescentic glomerulonephritis",Наследственная нефропатия не классифицированная в др.рубриках-диффузный серповидный гломерулонефрит,1,56702,N07.7
56711,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში სხვა ცვლილებით","Hereditary nephropathy, not elsewhere classified, other",Наследственная нефропатия не классифицированная в др.рубриках-другие изменения,1,56702,N07.8
56712,"მემკვიდრული ნეფროპათია, რომელიც არ არის შეტანილი სხვა რუბრიკებში დაუზუსტებელი ცვლილებით","Hereditary nephropathy, not elsewhere classified, unspecified",Наследственная нефропатия не классифицированная в др.рубриках-неуточненное изменение,1,56702,N07.9
56713,"გლომერულების დაზიანებები იმ ავადმყოფობათა დროს, რომლებიც შეტანილია სხვა რუბრიკებში",Glomerular disorders in diseases classified elsewhere,"Гломерулярные поражения при болезнях, классифицированных в других рубриках",1,50563,N08*
56714,"გლომერულების დაზიანებები იმ ინფექციური და პარაზიტული ავადმყოფობების დროს, რომლებიც შეტანილია სხვა რუბრიკებში",Glomerular disorders in infectious and parasitic diseases classified elsewhere,"Гломерулярные поражения при инфекционных и паразитарных болезнях, классифицированных в других рубриках",1,56713,N08.0*
56715,გლომერულების დაზიანებები სიმსივნური ავადმყოფობების დროს,Glomerular disorders in neoplastic diseases,Гломерулярные поражения при новообразованиях,1,56713,N08.1*
56716,გლომერულების დაზიანებები სისხლის ავადმყოფობისა და იმუნოპათიების დროს,Glomerular disorders in blood diseases and disorders involving the immune mechanism,Гломерулярные поражения при болезнях крови и иммунных нарушениях,1,56713,N08.2*
56717,გლომერულების დაზიანებები შაქრიანი დიაბეტის დროს (E10 - E14+ საერთო მეოთხე რიგის კატეგორიით .2),Glomerular disorders in diabetes mellitus (E10-E14+ with common fourth character .2),Гломерулярные поражения при сахарном диабете Е10-Е14 с общим четвертым знаком .2 ,1,56713,N08.3*
56718,"გლომერულების დაზიანებები სხვა ენდოკრინული, კვებითი და მეტაბოლიზმური ავადმყოფობების დროს","Glomerular disorders in other endocrine, nutritional and metabolic diseases","Гломерулярные поражения при других болезнях эндокринной системы, расстройствах питания и нарушениях обмена веществ",1,56713,N08.4*
56719,გლომერულების დაზიანებები შემაერთებელი ქსოვილის სისტემური დაზიანებების დროს,Glomerular disorders in systemic connective tissue disorders,Гломерулярные поражения при системных болезнях соединительной ткани,1,56713,N08.5*
56720,"გლომერულების დაზიანებები იმ სხვა ავადმყოფობათა დროს, რომლებიც შეტანილია სხვა რუბრიკებში",Glomerular disorders in other diseases classified elsewhere,"Гломерулярные поражения при других болезнях, классифицированных в других рубриках",1,56713,N08.8*
56721,მწვავე ტუბულო-ინტერსტიციული ნეფრიტი,Acute tubulo-interstitial nephritis,Острый тубулоинтерстициальный нефрит,1,50564,N10
56722,ქრონიკული ტუბულო-ინტერსტიციული ნეფროზი,Chronic tubulo-interstitial nephritis,Хронический тубулоинтерстициальный нефрит,1,50564,N11
56723,არაობსტუქციული რეფლუქსთან ასოცირებული ქრონიკული პიელონეფრიტი,Nonobstructive reflux-associated chronic pyelonephritis,"Необструктивный хронический пиелонефрит, связанный с рефлюксом",1,56722,N11.0
