ID,NAME_A,NAME_E,NAME_R,AVAILABLE,PID,EXTCOD
59753,"კოჭ-წვივის სახსრისა და ტერფის სახსრებისა და იოგების ღრძობა, დაჭიმულობა და გადაძაბვა","Dislocation, sprain and strain of joints and ligaments at ankle and at foot level","Вывих, растяжение и перенапряжение капсульно-связочного аппарата голеностопного сустава и стопы",1,50629,S93
59754,კოჭ-წვივის სახსრის ამოვარდნილობა,Dislocation of ankle joint,Вывих голеностопного сустава,1,59753,S93.0
59755,ტერფის თით(ებ)ის ამოვარდნილობა,Dislocation of toe(s),Вывих пальца ев  стопы,1,59753,S93.1
59756,იოგების გაწყვეტა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Rupture of ligaments at ankle and foot level,Разрыв связок на уровне голеностопного сустава и стопы,1,59753,S93.2
59757,ტერფის სხვა და დაუზუსტებელი ნაწილების ამოვარდნილობა,Dislocation of other and unspecified parts of foot,Вывих другой и неуточненной части стопы,1,59753,S93.3
59758,კოჭ-წვივის სახსრის იოგების დაჭიმულობა და გადაძაბვა,Sprain and strain of ankle,Растяжение и перенапряжение связок голеностопного сустава,1,59753,S93.4
59759,ტერფის თით(ებ)ის სახსრების იოგების დაჭიმულობა და გადაძაბვა,Sprain and strain of toe(s),Растяжение и перенапряжение капсульно-связочного аппарата суставов пальца ев  стопы,1,59753,S93.5
59760,ტერფის სხვა და დაუზუსტებელი სახსრების დაჭიმულობა და გადაძაბვა,Sprain and strain of other and unspecified parts of foot,Растяжение и перенапряжение капсульно-связочного аппарата других и неуточненных суставов стопы,1,59753,S93.6
59761,ნერვების ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of nerves at ankle and foot level,Травма нервов на уровне голеностопного сустава и стопы,1,50629,S94
59762,ფეხის გულის ლატერალური ნერვის ტრავმა,Injury of lateral plantar nerve,Травма наружного [латерального] подошвенного нерва,1,59761,S94.0
59763,ფეხის გულის მედიალური ნერვის ტრავმა,Injury of medial plantar nerve,Травма внутреннего [медиального] подошвенного нерва,1,59761,S94.1
59764,მცირე წვივის ღრმა ნერვის ტრავმა კოჭ-წვივის სახსრის და ტერფის დონეზე მცირე წვივის ღრმა ნერვის ტერმინალური და ლატერალური ტოტების,Injury of deep peroneal nerve at ankle and foot level,Травма глубокого малоберцового нерва на уровне голеностопного сустава и стопы,1,59761,S94.2
59765,კანის მგრძნობიარე ნერვის ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of cutaneous sensory nerve at ankle and foot level,Травма кожного чувствительного нерва на уровне голеностопного сустава и стопы,1,59761,S94.3
59766,ნერვების მრავლობითი ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of multiple nerves at ankle and foot level,Травма нескольких нервов на уровне голеностопного сустава и стопы,1,59761,S94.7
59767,სხვა ნერვების ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of other nerves at ankle and foot level,Травма других нервов на уровне голеностопного сустава и стопы,1,59761,S94.8
59768,დაუზუსტებელი ნერვის ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of unspecified nerve at ankle and foot level,Травма неуточненного нерва на уровне голеностопного сустава и стопы,1,59761,S94.9
59769,სისხლძარღვების ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of blood vessels at ankle and foot level,Травма кровеносных сосудов на уровне голеностопного сустава и стопы,1,50629,S95
59770,ტერფის დორზალური არტერიის ტრავმა,Injury of dorsal artery of foot,Травма тыльной [дорсальной] артерии стопы,1,59769,S95.0
59771,ტერფის პლანტარული არტერიის ტრავმა,Injury of plantar artery of foot,Травма подошвенной артерии стопы,1,59769,S95.1
59772,ტერფის დორზალური ვენის ტრავმა,Injury of dorsal vein of foot,Травма тыльной [дорсальной] вены стопы,1,59769,S95.2
59773,სისხლძარღვების მრავლობითი ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of multiple blood vessels at ankle and foot level,Травма нескольких кровеносных сосудов на уровне голеностопного сустава и стопы,1,59769,S95.7
59774,სხვა სისხლძარღვების ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of other blood vessels at ankle and foot level,Травма других кровеносных сосудов на уровне голеностопного сустава и стопы,1,59769,S95.8
59775,დაუზუსტებელი სისხლძარღვის ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of unspecified blood vessel at ankle and foot level,Травма неуточненного кровеносного сосуда на уровне голеностопного сустава и стопы,1,59769,S95.9
59776,კუნთების და მყესების ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of muscle and tendon at ankle and foot level,Травма мышцы и сухожилия на уровне голеностопного сустава и стопы,1,50629,S96
59777,თითის გრძელი მომხრელი კუნთისა და მყესის ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of muscle and tendon of long flexor muscle of toe at ankle and foot level,Травма длинного сгибателя пальца и его сухожилия на уровне голеностопного сустава и стопы,1,59776,S96.0
59778,თითის გრძელი გამშლელი კუნთისა და მყესის ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of muscle and tendon of long extensor muscle of toe at ankle and foot level,Травма длинного разгибателя пальца и его сухожилия на уровне голеностопного сустава и стопы,1,59776,S96.1
59779,საკუთარი კუნთისა და მყესის ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of intrinsic muscle and tendon at ankle and foot level,Травма собственной мышцы и сухожилия на уровне голеностопного сустава и стопы,1,59776,S96.2
59780,კუნთებისა და მყესების მრავლობითი ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of multiple muscles and tendons at ankle and foot level,Травма нескольких мышц и сухожилий на уровне голеностопного сустава и стопы,1,59776,S96.7
59781,სხვა კუნთებისა და მყესების ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of other muscles and tendons at ankle and foot level,Травма другой мышцы и сухожилия на уровне голеностопного сустава и стопы,1,59776,S96.8
59782,დაუზუსტებელი კუნთისა და მყესის ტრავმა კოჭ-წვივის სახსრისა და ტერფის დონეზე,Injury of unspecified muscle and tendon at ankle and foot level,Травма неуточненных мышц и сухожилий на уровне голеностопного сустава и стопы,1,59776,S96.9
59783,კოჭ-წვივის სახსრისა და ტერფის გაჭყლეტა,Crushing injury of ankle and foot,Размозжение голеностопного сустава,1,50629,S97
59784,კოჭ-წვივის სახსრის გაჭყლეტა,Crushing injury of ankle,Размозжение голеностопного сустава,1,59783,S97.0
59785,ტერფის თით(ებ)ის გაჭყლეტა,Crushing injury of toe(s),Размозжение пальца ев  стопы,1,59783,S97.1
59786,"კოჭ-წვივის სახსრისა და ტერფის სხვა ნაწილების გაჭყლეტა ტერფის გაჭყლეტა, რომელიც სხვაგვარად არ არის დაზუსტებული",Crushing injury of other parts of ankle and foot,Размозжение других отделов голеностопного сустава и стопы,1,59783,S97.8
59787,კოჭ-წვივის სახსრისა და ტერფის ტრავმული ამპუტაცია,Traumatic amputation of ankle and foot,Травматическая ампутация на уровне голеностопного сустава и стопы,1,50629,S98
59788,ტერფის ტრავმული ამპუტაცია კოჭ-წვივის სახსრის დონეზე,Traumatic amputation of foot at ankle level,Травматическая ампутация стопы на уровне голеностопного сустава,1,59787,S98.0
59789,ტერფის ერთი თითის ტრავმული ამპუტაცია,Traumatic amputation of one toe,Травматическая ампутация одного пальца стопы,1,59787,S98.1
59790,ტერფის ორი ან მეტი თითის ტრავმული ამპუტაცია,Traumatic amputation of two or more toes,Травматическая ампутация двух и более пальцев стопы,1,59787,S98.2
59791,ტერფის სხვა ნაწილების ტრავმული ამპუტაცია,Traumatic amputation of other parts of foot,Травматическая ампутация других частей стопы,1,59787,S98.3
59792,"ტერფის ტრავმული ამპუტაცია, დაუზუსტებელ დონეზე","Traumatic amputation of foot, level unspecified",Травматическая ампутация стопы на неуточненном уровне,1,59787,S98.4
59793,კოჭ-წვივის სახსრისა და ტერფის სხვა და დაუზუსტებელი ტრავმები,Other and unspecified injuries of ankle and foot,Другие и неуточненные травмы голеностопного сустава и стопы,1,50629,S99
59794,კოჭ-წვივის სახსრისა და ტერფის სხვა დაზუსტებული ტრავმები,Other specified injuries of ankle and foot,Другие уточненные травмы голеностопного сустава и стопы,1,59793,S99.8
59795,კოჭ-წვივის სახსრისა და ტერფის დაუზუსტებელი ტრავმა,Unspecified injury of ankle and foot,Травма голеностопного сустава и стопы неуточненная,1,59793,S99.9
59796,"ზედაპირული ტრავმები, რომლებიც მოიცავს სხეულის რამდენიმე მიდამოს",Superficial injuries involving multiple body regions,"Поверхностные травмы, захватывающие несколько областей тела",1,50630,T00
59797,თავისა და კისრის ზედაპირული ტრავმები,Superficial injuries involving head with neck,Поверхностные травмы шеи,1,59796,T00.0
59798,"გულმკერდის, მუცლის, ზურგის ქვედა ნაწილისა და მენჯის ზედაპირული ტრავმები","Superficial injuries involving thorax with abdomen, lower back and pelvis","Поверхностные травмы грудной клетки, живота, нижней части спины и таза",1,59796,T00.1
59799,"ზედაპირული ტრავმები, რომლებიც მოიცავს ზედა კიდურ(ებ)ის რამდენიმე მიდამოს",Superficial injuries involving multiple regions of upper limb(s),Поверхностные травмы нескольких областей верхней конечности ей ,1,59796,T00.2
59800,"ზედაპირული ტრავმები, რომლებიც მოიცავს ქვედა კიდურ(ებ)ის რამდენიმე მიდამოს",Superficial injuries involving multiple regions of lower limb(s),Поверхностные травмы нескольких областей нижней их  конечности ей ,1,59796,T00.3
59801,"ზედაპირული ტრავმები, რომლებიც მოიცავს ზედა და ქვედა კიდურ(ებ)ს",Superficial injuries involving multiple regions of upper limb(s) with lower limb(s),Поверхностные травмы нескольких областей верхней их  и нижней их  конечностей,1,59796,T00.6
59802,"ზედაპირული ტრავმების შეუღლების სხვა ვარიანტები, რომელიც მოიცავს სხეულის რამდენიმე მიდამოს",Superficial injuries involving other combinations of body regions,"Другие сочетания поверхностных травм, захватывающих несколько областей тела",1,59796,T00.8
59803,"მრავლობითი ზედაპირული ტრავმები, დაუზუსტებელი","Multiple superficial injuries, unspecified",Множественные поверхностные травмы неуточненные,1,59796,T00.9
59804,"ღია ჭრილობები, რომლებიც მოიცავს სხეულის რამდენიმე მიდამოს",Open wounds involving multiple body regions,"Открытые раны, захватывающие несколько областей тела",1,50630,T01
59805,თავისა და კისრის ღია ჭრილობები,Open wounds involving head with neck,Открытые раны головы и шеи,1,59804,T01.0
59806,"გულმკერდის, მუცლის, ზურგის ქვედა ნაწილისა და მენჯის ღია ჭრილობები","Open wounds involving thorax with abdomen, lower back and pelvis","Открытые раны грудной клетки, живота, нижней части спины и таза",1,59804,T01.1
59807,"ღია ჭრილობები, რომელებიც მოიცავს ზედა კიდურ(ებ)ის რამდენიმე მიდამოს",Open wounds involving multiple regions of upper limb(s),Открытые раны нескольких областей верней их  конечности ей ,1,59804,T01.2
59808,"ღია ჭრილობები, რომლებიც მოიცავს ქვედა კიდურ(ებ)ის რამდენიმე მიდამოს",Open wounds involving multiple regions of lower limb(s),Открытые раны нескольких областей нижней их  конечности ей ,1,59804,T01.3
59809,"ღია ჭრილობები, რომლებიც მოიცავს ზედა და ქვედა კიდურ(ებ)ის რამდენიმე მიდამოს",Open wounds involving multiple regions of upper limb(s) with lower limb(s),Открытые раны нескольких областей верхне их  и нижней их  конечностей,1,59804,T01.6
59810,"ღია ჭრილობების შეუღლების სხვა ვარიანტები, რომლებიც მოიცავს სხეულის რამდენიმე მიდამოს",Open wounds involving other combinations of body regions,"Другие сочетания открытых ран, захватывающих несколько областей тела",1,59804,T01.8
59811,"მრავლობითი ღია ჭრილობები, დაუზუსტებელი","Multiple open wounds, unspecified",Множественные открытые раны неуточненные,1,59804,T01.9
59812,"მოტეხილობები, რომელიც მოიცავს სხეულის რამდენიმე მიდამოს",Fractures involving multiple body regions,"Переломы, захватывающие несколько областей тела",1,50630,T02
59813,თავისა და კისრის მოდამოს მოტეხილობები,Fractures involving head with neck,,1,59812,T02.0
59814,"გულმკერდის, ზურგის ქვედა ნაწილისა და მენჯის მოტეხილობები",Fractures involving thorax with lower back and pelvis,,1,59812,T02.1
59815,"მოტეხილობები, რომლებიც მოიცავს ერთი რომელიმე ზედა კიდურის სხვადასხვა მიდამოს",Fractures involving multiple regions of one upper limb,,1,59812,T02.2
59816,"მოტეხილობები, რომლებიც მოიცავს ერთი რომელიმე ქვედა კიდურის სხვადასხვა მიდამოს",Fractures involving multiple regions of one lower limb,,1,59812,T02.3
59817,"მოტეხილობები, რომლებიც მოიცავს ორივე ზედა კიდურის სხვადასხვა მიდამოს",Fractures involving multiple regions of both upper limbs,,1,59812,T02.4
59818,"მოტეხილობები, რომლებიც მოიცავს ორივე ქვედა კიდურის სხვადასხვა მიდამოს",Fractures involving multiple regions of both lower limbs,,1,59812,T02.5
59819,"მოტეხილობები, რომლებიც მოიცავს ზედა და ქვედა კიდურ(ებ)ის სხვადასხვა მიდამოს",Fractures involving multiple regions of upper limb(s) with lower limb(s),,1,59812,T02.6
59820,"მოტეხილობები, რომლებიც მოიცავს გულმკერდს ზურგის ქვედა ნაწილსა და მენჯს კიდურ(ებ)თან ერთად",Fractures involving thorax with lower back and pelvis with limb(s),,1,59812,T02.7
59821,"მოტეხილობების შეუღლების სხვადასხვა ვარიანტები, რომლებიც მოიცავს სხეულის რამდენიმე მიდამოს",Fractures involving other combinations of body regions,,1,59812,T02.8
59822,"მრავლობითი მოტეხილობები, დაუზუსტებული","Multiple fractures, unspecified",,1,59812,T02.9
59823,"სხეულის რამდენიმე მიდამოს სახსრებისა და იოგების ღრძობა, დაჭიმულობა და გადაძაბვა","Dislocations, sprains and strains involving multiple body regions","Вывихи, растяжение и перенапряжение капсульно-связочного аппарата суставов, захватывающие несколько областей тела",1,50630,T03
59824,"თავისა და კისრის სახსრების და იოგების ღრძობა, დაჭიმულობა და გადაძაბვა","Dislocations, sprains and strains involving head with neck","Вывихи, растяжение и перенапряжение капсульно-связочного аппарата суставов, захватывающие область головы и шеи",1,59823,T03.0
59825,"გულმკერდის, ზურგის ქვედა ნაწილის, მენჯის სახსრებისა და იოგების ღრძობა, დაჭიმულობა და გადაძაბვა","Dislocations, sprains and strains involving thorax with lower back and pelvis","Вывихи, растяжение и перенапряжение капсульно-связочного аппарата суставов грудной клетки, нижней части спины и таза",1,59823,T03.1
59826,"ზედა კიდურ(ებ)ის სხვადასხვა მიდამოს სახსრების და იოგების ღრძობა, დაჭიმულობა და გადაძაბვა","Dislocations, sprains and strains involving multiple regions of upper limb(s)","Вывихи, растяжение и перенапряжение капсульно-связочного аппарата суставов нескольких областей верхней их  конечности ей ",1,59823,T03.2
59827,"ქვედა კიდურ(ებ)ის სხვადასხვა მიდამოს სახსრების და იოგების ღრძობა, დაჭიმულობა და გადაძაბვა","Dislocations, sprains and strains involving multiple regions of lower limb(s)","Вывихи, растяжение и перенапряжение капсульно-связочного аппарата суставов нескольких областей нижней их  конечности ей ",1,59823,T03.3
59828,"ზედა და ქვედა კიდურ(ებ)ის სხვადასხვა მიდამოს სახსრებისა და იოგების ღრძობა, დაჭიმულობა და გადაძაბვა","Dislocations, sprains and strains involving multiple regions of upper limb(s) with lower limb(s)","Вывихи, растяжение и перенапряжение капсульно-связочного аппарата суставов нескольких областей верхней их  и нижней их  конечностей",1,59823,T03.4
59829,"სახსრებისა და იოგების ღრძობის, დაჭიმულობისა და გადაძაბვის შეუღლების სხვა ვარიანტები, რომლებიც მოიცავს სხეულის სხვადასხვა მიდამოს","Dislocations, sprains and strains involving other combinations of body regions","Другие сочетания вывихов, растяжений капсульно-связочного аппарата суставов и перенапряжений нескольких областей тела",1,59823,T03.8
59830,"სახსრებისა და იოგების მრავლობითი ღრძობა და დაჭიმულობა და გადაძაბვა, დაუზუსტებელი","Multiple dislocations, sprains and strains, unspecified","Множественные вывихи, растяжения и перенапряжения капсульно-связочного аппарата суставов неуточненные",1,59823,T03.9
59831,სხეულის რამდენიმე მიდამოს გაჭყლეტა,Crushing injuries involving multiple body regions,"Размозжения, захватывающие несколько областей тела",1,50630,T04
59832,თავისა და კისრის გაჭყლეტა,Crushing injuries involving head with neck,Размозжение головы и шеи,1,59831,T04.0
59833,"გულმკერდის, მუცლის, ზურგის ქვედა ნაწილისა და მენჯის გაჭყლეტა","Crushing injuries involving thorax with abdomen, lower back and pelvis","Размозжение грудной клетки, области живота, нижней части спины и таза",1,59831,T04.1
59834,ზედა კიდურ(ებ)ის რამდენიმე მიდამოს გაჭყლეტა,Crushing injuries involving multiple regions of upper limb(s),Размозжение нескольких областей верхней их  конечности ей ,1,59831,T04.2
59835,ქვედა კიდურ(ებ)ის რამდენიმე მიდამოს გაჭყლეტა,Crushing injuries involving multiple regions of lower limb(s),Размозжение нескольких областей нижней их  конечности ей ,1,59831,T04.3
59836,ზედა და ქვედა კიდურ(ებ)ის რამდენიმე მიდამოს გაჭყლეტა,Crushing injuries involving multiple regions of upper limb(s) with lower limb(s),Размозжение нескольких областей верхней их  и нижней их  конечностей,1,59831,T04.4
59837,"გულმკერდის, მუცლის, ზურგის ქვედა ნაწილის, მენჯის და კიდურების გაჭყლეტა","Crushing injuries of thorax with abdomen, lower back and pelvis with limb(s)","Размозжение грудной клетки, живота, нижней части спины, таза и конечности ей ",1,59831,T04.7
59838,სხეულის რამდენიმე უბნის გაჭყლეტის შეუღლების სხვა ვარიანტები,Crushing injuries involving other combinations of body regions,Другие сочетания размозжения нескольких областей тела,1,59831,T04.8
59839,"მრავლობითი გაჭყლეტა, დაუზუსტებელი.","Multiple crushing injuries, unspecified",Множественные размозжения неуточненные,1,59831,T04.9
59840,"ტრავმული ამპუტაციები, რომლებიც მოიცავს სხეულის რამდენიმე მიდამოს",Traumatic amputations involving multiple body regions,"Травматические ампутации, захватывающие несколько областей тела",1,50630,T05
59841,ორივე მტევნის ტრავმული ამპუტაცია,Traumatic amputation of both hands,Травматическая ампутация обеих кистей,1,59840,T05.0
59842,"ერთი მტევნის ტრავმული ამპუტაცია , შეუღლებული მეორე ხელის ამპუტაციასთან (ნებისმიერი დონეზე, გარდა ხელის მტევნისა)","Traumatic amputation of one hand and other arm [any level, except hand]","Травматическая ампутация кисти одной руки в сочетании с ампутацией другой руки на любом уровне, кроме кисти",1,59840,T05.1
59843,ორივე ხელის ტრავმული ამპუტაცია (ნებისმიერ დონეზე),Traumatic amputation of both arms [any level],Травматическая ампутация обеих рук на любом уровне,1,59840,T05.2
59844,ორივე ტერფის ტრავმული ამპუტაცია,Traumatic amputation of both feet,Травматическая ампутация обеих стоп,1,59840,T05.3
59845,"ერთი ტერფის ტრავმული ამპუტაცია შეუღლებული მეორე ფეხის ამპუტაციასთან (ნებისმიერ დონეზე, გარდა ტერფისა)","Traumatic amputation of one foot and other leg [any level, except foot]","Травматическая ампутация одной стопы в сочетании с ампутацией другой ноги на любом уровне, кроме стопы",1,59840,T05.4
59846,ორივე ფეხის ტრავმული ამპუტაცია (ნებისმიერ დონეზე),Traumatic amputation of both legs [any level],Травматическая ампутация обеих нижних конечностей на любом уровне,1,59840,T05.5
59847,"ზედა და ქვედა კიდურების ტრავმული ამპუტაცია, ნებისმიერი კომბინაციით (ნებისმიერ დონეზე)","Traumatic amputation of upper and lower limbs, any combination [any level]","Травматическая ампутация верхней и нижней конечностей, любая комбинация [любых уровней]",1,59840,T05.6
59848,"ტრავმული ამპუტაციები, რომლებიც მოიცავს სხეულის სხვა ნაწილებს სხვადასხვა კომბინაციებით",Traumatic amputations involving other combinations of body regions,"Травматические ампутации, захватывающие другие области тела в разных комбинациях",1,59840,T05.8
59849,"მრავლობითი ტრავმული ამპუტაციები, დაუზუსტებელი","Multiple traumatic amputations, unspecified",Множественные травматические ампутации неуточненные,1,59840,T05.9
59850,"სხვა ტრავმები, რომლებიც მოიცავს სხეულის რამდენიმე მიდამოს და არ არის შეტანილი სხვა რუბრიკებში","Other injuries involving multiple body regions, not elsewhere classified","Другие травмы, охватывающие несколько областей тела, не классифицированные в других рубриках",1,50630,T06
59851,თავის ტვინისა და კრანიული ნერვების ტრავმა ზურგის ტვინისა და ნერვების ტრავმასთან ერთად კისრის დონეზე,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level,Травмы головного мозга и черепных нервов в сочетании с травмами спинного мозга и других нервов на уровне шеи,1,59850,T06.0
59852,"ნერვებისა და ზურგის ტვინის ტრავმა, რომელიც მოიცავს სხვა მრავალრიცხოვან სხეულის ნაწილებს",Injuries of nerves and spinal cord involving other multiple body regions,Травмы нервов и спинного мозга с вовлечением нескольких областей тела,1,59850,T06.1
59853,"ნერვების ტრავმა, რომელიც მოიცავს სხეულის სხვადასხვა მიდამოს ნერვების მრავლობითი ტრავმები, რომელიც სხვაგვარად არ არის დაზუსტებული",Injuries of nerves involving multiple body regions,Травмы нервов с вовлечением нескольких областей тела,1,59850,T06.2
59854,"სისხლძარღვთა ტრავმა, რომელიც მოიცავს სხეულის სხვადასხვა მიდამოს",Injuries of blood vessels involving multiple body regions,Травмы кровеносных сосудов с вовлечением нескольких областей тела,1,59850,T06.3
59855,"კუნთებისა და მყესების ტრავმა, რომელიც მოიცავს სხეულის სხვადასხვა მიდამოს",Injuries of muscles and tendons involving multiple body regions,Травмы мышц и сухожилий с вовлечением нескольких областей тела,1,59850,T06.4
59856,გულმკერდის ღრუს ორგანოების ტრავმები მუცლის ღრუსა და მენჯის ორგანოების ტრავმასთან ერთად,Injuries of intrathoracic organs with intra-abdominal and pelvic organs,Травмы органов грудной клетки в сочетании с травмами органов брюшной полости и таза,1,59850,T06.5
59857,"სხვა დაზუსტებული ტრავმები, რომლებიც მოიცავს სხეულის სხვადასხვა მიდამოს",Other specified injuries involving multiple body regions,Другие уточненные травмы с вовлечением нескольких областей тела,1,59850,T06.8
59858,"მრავლობითი ტრავმები, დაუზუსტებელი",Unspecified multiple injuries,Множественные травмы неуточненные,1,50630,T07
59859,"ხერხემლის მოტეხილობა, დაუზუსტებელ დონეზე","Fracture of spine, level unspecified",Перелом позвоночника на неуточненном уровне,1,50631,T08
59860,"ხერხემლის და ტორსის სხვა ტრავმები, დაუზუსტებელ დონეზე","Other injuries of spine and trunk, level unspecified",Другие травмы позвоночника и туловища на неуточненном уровне,1,50631,T09
59861,"ტორსის ზედაპირული ტრავმა, დაუზუსტებელ დონეზე","Superficial injury of trunk, level unspecified",Поверхностные травмы туловища на неуточненном уровне,1,59860,T09.0
59862,"ტორსის ღია ჭრილობა, დაუზუსტებელ დონეზე","Open wound of trunk, level unspecified",Открытая рана туловища на неуточненном уровне,1,59860,T09.1
59863,"სახსრებისა და იოგების ღრძობა, დაჭიმულობა და გადაძაბვა ტორსის დაუზუსტებელ დონეზე","Dislocation, sprain and strain of unspecified joint and ligament of trunk","Вывих, растяжение и перенапряжение капсульно-связочного аппарата на неуточненном уровне туловища",1,59860,T09.2
59864,"ზურგის ტვინის ტრავმა, დაუზუსტებელ დონეზე","Injury of spinal cord, level unspecified",Травма спинного мозга на неуточненном уровне,1,59860,T09.3
59865,"დაუზუსტებელი ნერვის, ზურგის ნერვის ფესვის და ტორსის წნულის ტრავმა","Injury of unspecified nerve, spinal nerve root and plexus of trunk","Травма неуточненных нерва, корешка спинного мозга и нервного сплетения туловища",1,59860,T09.4
59866,ტორსის დაუზუსტებელი კუნთის და მყესის ტრავმა,Injury of unspecified muscle and tendon of trunk,Травма неуточненных мышцы и сухожилия туловища,1,59860,T09.5
59867,"ტორსის ტრავმული ამპუტაცია, დაუზუსტებელ დონეზე","Traumatic amputation of trunk, level unspecified",Травматическая ампутация туловища на неуточненном уровне,1,59860,T09.6
59868,"ტორსის სხვა დაუზუსტებელი ტრავმები, დაუზუსტებელ დონეზე","Other specified injuries of trunk, level unspecified",Другие уточненные травмы туловища на неуточненном уровне,1,59860,T09.8
59869,"ტორსის დაუზუსტებელი ტრავმები, დაუზუსტებელ დონეზე","Unspecified injury of trunk, level unspecified",Неуточненная травма туловища на неуточненном уровне,1,59860,T09.9
59870,"ზემო კიდურის მოტეხილობა, დაუზუსტებელ დონეზე","Fracture of upper limb, level unspecified",Перелом верхней конечности на неуточненном уровне,1,50631,T10
59871,"ზემო კიდურის სხვა ტრავმები, დაუზუსტებელ დონეზე","Other injuries of upper limb, level unspecified",Другие травмы верхней конечности на неуточненном уровне,1,50631,T11
59872,"ზემო კიდურის ზედაპირული ტრავმა, დაუზუსტებელ დონეზე","Superficial injury of upper limb, level unspecified",Поверхностная травма верхней конечности на неуточненном уровне,1,59871,T11.0
59873,"ზემო კიდურის ღია ჭრილობა, დაუზუსტებელ დონეზე","Open wound of upper limb, level unspecified",Открытая травма верхней конечности на неуточненном уровне,1,59871,T11.1
59874,"ზემო კიდურის დაუზუსტებელი სახსრისა და იოგის ღრძობა, დაჭიმულობა და დეფორმაცია, დაუზუსტებელ დონეზე","Dislocation, sprain and strain of unspecified joint and ligament of upper limb, level unspecified","Вывих, растяжение, деформация неуточненных сустава и связки верхней конечности на неуточненном уровне",1,59871,T11.2
59875,ზემო კიდურის დაუზუსტებელი ნერვის ტრავმა დაუზუსტებელ დონეზე,"Injury of unspecified nerve of upper limb, level unspecified",Травма неуточненного нерва верхней конечности на неуточненном уровне,1,59871,T11.3
59876,"ზემო კიდურის დაუზუსტებელი სისხლმილების ტრავმა, დაუზუსტებელ დონეზე","Injury of unspecified blood vessel of upper limb, level unspecified",Травма неуточненного кровеносного сосуда верхней конечности на неуточненном уровне,1,59871,T11.4
59877,"ზემო კიდურის დაუზუსტებელი კუნთის და მყესის ტრავმა, დაუზუსტებელ დონეზე","Injury of unspecified muscle and tendon of upper limb, level unspecified",Травма неуточненных мышцы и сухожилия верхней конечности на неуточненном уровне,1,59871,T11.5
59878,"ზემო კიდურის ტრავმული ამპუტაცია, დაუზუსტებელ დონეზე ხელის ტრავმული ამპუტაცია, რომელიც სხვაგვარად არ არის დაზუსტებული","Traumatic amputation of upper limb, level unspecified",Травматическая ампутация верхней конечности на неуточненном уровне,1,59871,T11.6
